datetime,LE,LE_filled
2018-10-03 14:15:00,89.5416,89.5416
2018-10-03 14:45:00,87.0951,87.0951
2018-10-03 15:15:00,67.3132,67.3132
2018-10-03 15:45:00,43.056,43.056
2018-10-03 16:15:00,32.178,32.178
2018-10-03 16:45:00,47.5336,47.5336
2018-10-03 17:15:00,26.607,26.607
2018-10-03 17:45:00,21.9373,21.9373
2018-10-03 18:15:00,8.80973,8.80973
2018-10-03 18:45:00,2.70396,2.70396
2018-10-03 19:15:00,2.42832,2.42832
2018-10-03 19:45:00,3.7046,3.7046
2018-10-03 20:15:00,9.61149,9.61149
2018-10-03 20:45:00,10.742,10.742
2018-10-03 21:15:00,15.0868,15.0868
2018-10-03 21:45:00,7.0985,7.0985
2018-10-03 22:15:00,9.16593,9.16593
2018-10-03 22:45:00,9.75765,9.75765
2018-10-03 23:15:00,8.91834,8.91834
2018-10-03 23:45:00,4.82826,4.82826
2018-10-04 00:15:00,7.84692,7.84692
2018-10-04 00:45:00,13.1166,13.1166
2018-10-04 01:15:00,4.21702,4.21702
2018-10-04 01:45:00,7.80581,7.80581
2018-10-04 02:15:00,3.48677,3.48677
2018-10-04 02:45:00,10.7525,10.7525
2018-10-04 03:15:00,8.33619,8.33619
2018-10-04 03:45:00,3.93342,3.93342
2018-10-04 04:15:00,-2.0124,-2.0124
2018-10-04 04:45:00,-1.58651,-1.58651
2018-10-04 05:15:00,0.3208,0.3208
2018-10-04 05:45:00,2.60525,2.60525
2018-10-04 06:15:00,-0.9583,-0.9583
2018-10-04 06:45:00,0.13551,0.13551
2018-10-04 07:15:00,5.62819,5.62819
2018-10-04 07:45:00,-6.23696,-6.23696
2018-10-04 08:15:00,16.598,16.598
2018-10-04 08:45:00,41.8558,41.8558
2018-10-04 09:15:00,20.4623,20.4623
2018-10-04 09:45:00,28.9604,28.9604
2018-10-04 10:15:00,40.7523,40.7523
2018-10-04 10:45:00,22.8715,22.8715
2018-10-04 11:15:00,-2.67726,-2.67726
2018-10-04 11:45:00,26.6685,26.6685
2018-10-04 12:15:00,41.6949,41.6949
2018-10-04 12:45:00,34.7797,34.7797
2018-10-04 13:15:00,56.4433,56.4433
2018-10-04 13:45:00,43.2813,43.2813
2018-10-04 14:15:00,33.481,33.481
2018-10-04 14:45:00,38.0024,38.0024
2018-10-04 15:15:00,19.6541,19.6541
2018-10-04 15:45:00,21.538,21.538
2018-10-04 16:15:00,30.1991,30.1991
2018-10-04 16:45:00,36.8472,36.8472
2018-10-04 17:15:00,32.7991,32.7991
2018-10-04 17:45:00,9.888,9.888
2018-10-04 18:15:00,13.0576,13.0576
2018-10-04 18:45:00,9.51762,9.51762
2018-10-04 19:15:00,9.60525,9.60525
2018-10-04 19:45:00,-4.77182,-4.77182
2018-10-04 20:15:00,-11.869,-11.869
2018-10-04 20:45:00,10.4337,10.4337
2018-10-04 21:15:00,-4.67079,-4.67079
2018-10-04 21:45:00,5.35567,5.35567
2018-10-04 22:15:00,-4.96929,-4.96929
2018-10-04 22:45:00,9.66612,9.66612
2018-10-04 23:15:00,4.83681,4.83681
2018-10-04 23:45:00,-2.04136,-2.04136
2018-10-05 00:15:00,1.56821,1.56821
2018-10-05 00:45:00,5.59123,5.59123
2018-10-05 01:15:00,-2.0149,-2.0149
2018-10-05 01:45:00,-2.99486,-2.99486
2018-10-05 02:15:00,3.10582,3.10582
2018-10-05 02:45:00,-0.27267,-0.27267
2018-10-05 03:15:00,-1.67685,-1.67685
2018-10-05 03:45:00,-1.98906,-1.98906
2018-10-05 04:15:00,0.77324,0.77324
2018-10-05 04:45:00,5.62118,5.62118
2018-10-05 05:15:00,1.10753,1.10753
2018-10-05 05:45:00,-0.66531,-0.66531
2018-10-05 06:15:00,0.13026,0.13026
2018-10-05 06:45:00,-0.06025,-0.06025
2018-10-05 07:15:00,-0.08818,-0.08818
2018-10-05 07:45:00,3.10058,3.10058
2018-10-05 08:15:00,25.2061,25.2061
2018-10-05 08:45:00,9.30048,9.30048
2018-10-05 09:15:00,22.1611,22.1611
2018-10-05 09:45:00,34.8219,34.8219
2018-10-05 10:15:00,26.0543,26.0543
2018-10-05 10:45:00,21.8577,21.8577
2018-10-05 11:15:00,40.518,40.518
2018-10-05 11:45:00,42.053,42.053
2018-10-05 12:15:00,31.195,31.195
2018-10-05 12:45:00,38.9107,38.9107
2018-10-05 13:15:00,43.5892,43.5892
2018-10-05 13:45:00,33.1929,33.1929
2018-10-05 14:15:00,33.1041,33.1041
2018-10-05 14:45:00,49.5635,49.5635
2018-10-05 15:15:00,22.15,22.15
2018-10-05 15:45:00,31.6309,31.6309
2018-10-05 16:15:00,22.5147,22.5147
2018-10-05 16:45:00,16.5726,16.5726
2018-10-05 17:15:00,3.18682,3.18682
2018-10-05 17:45:00,12.4629,12.4629
2018-10-05 18:15:00,26.7872,26.7872
2018-10-05 18:45:00,19.198,19.198
2018-10-05 19:15:00,2.58126,2.58126
2018-10-05 19:45:00,16.4202,16.4202
2018-10-05 20:15:00,-2.00199,-2.00199
2018-10-05 20:45:00,-4.37107,-4.37107
2018-10-05 21:15:00,-16.8329,-16.8329
2018-10-05 21:45:00,-1.59931,-1.59931
2018-10-05 22:15:00,1.47553,1.47553
2018-10-05 22:45:00,5.52612,5.52612
2018-10-05 23:15:00,19.65,19.65
2018-10-05 23:45:00,,4.052360800000001
2018-10-06 00:15:00,8.62063,8.62063
2018-10-06 00:45:00,-0.3316,-0.3316
2018-10-06 01:15:00,0.52457,0.52457
2018-10-06 01:45:00,-14.9952,-14.9952
2018-10-06 02:15:00,4.44842,4.44842
2018-10-06 02:45:00,-0.10483,-0.10483
2018-10-06 03:15:00,5.27199,5.27199
2018-10-06 03:45:00,5.92549,5.92549
2018-10-06 04:15:00,1.34408,1.34408
2018-10-06 04:45:00,11.2222,11.2222
2018-10-06 05:15:00,1.5839,1.5839
2018-10-06 05:45:00,-1.06331,-1.06331
2018-10-06 06:15:00,-6.29856,-6.29856
2018-10-06 06:45:00,3.00716,3.00716
2018-10-06 07:15:00,11.3446,11.3446
2018-10-06 07:45:00,-3.18406,-3.18406
2018-10-06 08:15:00,13.1631,13.1631
2018-10-06 08:45:00,-10.4353,-10.4353
2018-10-06 09:15:00,-10.1019,-10.1019
2018-10-06 09:45:00,31.0964,31.0964
2018-10-06 10:15:00,21.4039,21.4039
2018-10-06 10:45:00,25.6583,25.6583
2018-10-06 11:15:00,39.0336,39.0336
2018-10-06 11:45:00,174.392,174.392
2018-10-06 12:15:00,100.299,100.299
2018-10-06 12:45:00,76.5906,76.5906
2018-10-06 13:15:00,-34.1463,-34.1463
2018-10-06 13:45:00,32.9635,32.9635
2018-10-06 14:15:00,10.4085,10.4085
2018-10-06 14:45:00,-13.1365,-13.1365
2018-10-06 15:15:00,20.5899,20.5899
2018-10-06 15:45:00,25.5001,25.5001
2018-10-06 16:15:00,4.15623,4.15623
2018-10-06 16:45:00,11.0171,11.0171
2018-10-06 17:15:00,6.04691,6.04691
2018-10-06 17:45:00,-8.38337,-8.38337
2018-10-06 18:15:00,23.5388,23.5388
2018-10-06 18:45:00,2.02688,2.02688
2018-10-06 19:15:00,28.8896,28.8896
2018-10-06 19:45:00,10.2352,10.2352
2018-10-06 20:15:00,-2.57532,-2.57532
2018-10-06 20:45:00,-2.99602,-2.99602
2018-10-06 21:15:00,0.56783,0.56783
2018-10-06 21:45:00,4.38157,4.38157
2018-10-06 22:15:00,0.54937,0.54937
2018-10-06 22:45:00,2.81589,2.81589
2018-10-06 23:15:00,2.37941,2.37941
2018-10-06 23:45:00,6.98016,6.98016
2018-10-07 00:15:00,-0.51239,-0.51239
2018-10-07 00:45:00,2.50115,2.50115
2018-10-07 01:15:00,-2.49323,-2.49323
