datetime,NEE,NEE_filled
2018-10-03 14:15:00,0.01336,0.01336
2018-10-03 14:45:00,-0.58507,-0.58507
2018-10-03 15:15:00,-1.46337,-1.46337
2018-10-03 15:45:00,-0.22223,-0.22223
2018-10-03 16:15:00,0.02327,0.02327
2018-10-03 16:45:00,0.42172,0.42172
2018-10-03 17:15:00,-1.2125,-1.2125
2018-10-03 17:45:00,0.78983,0.78983
2018-10-03 18:15:00,-0.29913,-0.29913
2018-10-03 18:45:00,-0.52958,-0.52958
2018-10-03 19:15:00,2.36398,2.36398
2018-10-03 19:45:00,1.75742,1.75742
2018-10-03 20:15:00,-0.44121,-0.44121
2018-10-03 20:45:00,0.59001,0.59001
2018-10-03 21:15:00,-0.54843,-0.54843
2018-10-03 21:45:00,-0.2443,-0.2443
2018-10-03 22:15:00,0.37551,0.37551
2018-10-03 22:45:00,1.29915,1.29915
2018-10-03 23:15:00,-0.50383,-0.50383
2018-10-03 23:45:00,-0.17137,-0.17137
2018-10-04 00:15:00,-0.37301,-0.37301
2018-10-04 00:45:00,0.15351,0.15351
2018-10-04 01:15:00,0.88162,0.88162
2018-10-04 01:45:00,-0.58821,-0.58821
2018-10-04 02:15:00,0.02203,0.02203
2018-10-04 02:45:00,0.01895,0.01895
2018-10-04 03:15:00,0.71442,0.71442
2018-10-04 03:45:00,-0.64442,-0.64442
2018-10-04 04:15:00,1.09206,1.09206
2018-10-04 04:45:00,-0.19252,-0.19252
2018-10-04 05:15:00,1.06759,1.06759
2018-10-04 05:45:00,-0.55246,-0.55246
2018-10-04 06:15:00,-0.71309,-0.71309
2018-10-04 06:45:00,0.30767,0.30767
2018-10-04 07:15:00,0.56444,0.56444
2018-10-04 07:45:00,-0.64394,-0.64394
2018-10-04 08:15:00,0.03952,0.03952
2018-10-04 08:45:00,0.13376,0.13376
2018-10-04 09:15:00,-0.7519,-0.7519
2018-10-04 09:45:00,-1.08406,-1.08406
2018-10-04 10:15:00,0.09021,0.09021
2018-10-04 10:45:00,0.31124,0.31124
2018-10-04 11:15:00,-0.28141,-0.28141
2018-10-04 11:45:00,1.23234,1.23234
2018-10-04 12:15:00,-4.31786,-4.31786
2018-10-04 12:45:00,0.46388,0.46388
2018-10-04 13:15:00,-3.54963,-3.54963
2018-10-04 13:45:00,1.50704,1.50704
2018-10-04 14:15:00,-2.70387,-2.70387
2018-10-04 14:45:00,3.38055,3.38055
2018-10-04 15:15:00,-2.29008,-2.29008
2018-10-04 15:45:00,-0.43556,-0.43556
2018-10-04 16:15:00,0.6101,0.6101
2018-10-04 16:45:00,5.07709,5.07709
2018-10-04 17:15:00,-0.63331,-0.63331
2018-10-04 17:45:00,-3.29683,-3.29683
2018-10-04 18:15:00,-0.15268,-0.15268
