datetime,NEE,NEE_filled
2018-10-03 14:15:00,-0.84415,-0.84415
2018-10-03 14:45:00,-0.75381,-0.75381
2018-10-03 15:15:00,-0.32498,-0.32498
2018-10-03 15:45:00,0.13588,0.13588
2018-10-03 16:15:00,0.44108,0.44108
2018-10-03 16:45:00,0.86922,0.86922
2018-10-03 17:15:00,-1.64258,-1.64258
2018-10-03 17:45:00,2.07581,2.07581
2018-10-03 18:15:00,1.33301,1.33301
2018-10-03 18:45:00,0.24889,0.24889
2018-10-03 19:15:00,0.99442,0.99442
2018-10-03 19:45:00,0.67957,0.67957
2018-10-03 20:15:00,-0.01522,-0.01522
2018-10-03 20:45:00,0.10135,0.10135
2018-10-03 21:15:00,-1.2245,-1.2245
2018-10-03 21:45:00,-0.84052,-0.84052
2018-10-03 22:15:00,-1.07587,-1.07587
2018-10-03 22:45:00,1.1958,1.1958
2018-10-03 23:15:00,-0.60295,-0.60295
2018-10-03 23:45:00,0.45424,0.45424
2018-10-04 00:15:00,-0.20439,-0.20439
2018-10-04 00:45:00,0.01393,0.01393
2018-10-04 01:15:00,1.08008,1.08008
2018-10-04 01:45:00,-0.28861,-0.28861
2018-10-04 02:15:00,0.18859,0.18859
2018-10-04 02:45:00,-0.28083,-0.28083
2018-10-04 03:15:00,-0.50696,-0.50696
2018-10-04 03:45:00,,0.021921075
2018-10-04 04:15:00,0.14717,0.14717
2018-10-04 04:45:00,0.0526,0.0526
2018-10-04 05:15:00,0.63518,0.63518
2018-10-04 05:45:00,0.25206,0.25206
2018-10-04 06:15:00,-1.08269,-1.08269
2018-10-04 06:45:00,0.04096,0.04096
2018-10-04 07:15:00,0.79449,0.79449
2018-10-04 07:45:00,-0.06336,-0.06336
2018-10-04 08:15:00,0.21386,0.21386
2018-10-04 08:45:00,-1.6963,-1.6963
2018-10-04 09:15:00,-0.70266,-0.70266
2018-10-04 09:45:00,-3.04465,-3.04465
2018-10-04 10:15:00,-1.4711,-1.4711
2018-10-04 10:45:00,-3.11463,-3.11463
2018-10-04 11:15:00,0.65108,0.65108
2018-10-04 11:45:00,-0.30898,-0.30898
2018-10-04 12:15:00,-1.60076,-1.60076
2018-10-04 12:45:00,,-0.16129585
2018-10-04 13:15:00,3.03293,3.03293
2018-10-04 13:45:00,-1.11841,-1.11841
2018-10-04 14:15:00,1.17927,1.17927
2018-10-04 14:45:00,-2.17955,-2.17955
2018-10-04 15:15:00,-0.68293,-0.68293
2018-10-04 15:45:00,-0.03219,-0.03219
2018-10-04 16:15:00,-1.29021,-1.29021
2018-10-04 16:45:00,0.16915,0.16915
2018-10-04 17:15:00,-0.41966,-0.41966
2018-10-04 17:45:00,2.18416,2.18416
2018-10-04 18:15:00,-1.29865,-1.29865
2018-10-04 18:45:00,0.58967,0.58967
2018-10-04 19:15:00,0.34156,0.34156
2018-10-04 19:45:00,-0.05908,-0.05908
2018-10-04 20:15:00,1.194,1.194
2018-10-04 20:45:00,-0.71958,-0.71958
2018-10-04 21:15:00,0.6707,0.6707
2018-10-04 21:45:00,2.93874,2.93874
2018-10-04 22:15:00,0.80723,0.80723
2018-10-04 22:45:00,0.92238,0.92238
2018-10-04 23:15:00,-0.83658,-0.83658
2018-10-04 23:45:00,0.40184,0.40184
2018-10-05 00:15:00,-0.56263,-0.56263
2018-10-05 00:45:00,0.07989,0.07989
2018-10-05 01:15:00,,0.061114125
2018-10-05 01:45:00,-0.04865,-0.04865
2018-10-05 02:15:00,-0.0439,-0.0439
2018-10-05 02:45:00,0.04133,0.04133
2018-10-05 03:15:00,0.4304,0.4304
2018-10-05 03:45:00,0.05951,0.05951
2018-10-05 04:15:00,-0.00088,-0.00088
2018-10-05 04:45:00,0.39142,0.39142
2018-10-05 05:15:00,-0.0006,-0.0006
2018-10-05 05:45:00,-0.00029,-0.00029
2018-10-05 06:15:00,-0.16601,-0.16601
2018-10-05 06:45:00,0.19178,0.19178
2018-10-05 07:15:00,0.1762,0.1762
2018-10-05 07:45:00,0.26901,0.26901
2018-10-05 08:15:00,-2.01613,-2.01613
2018-10-05 08:45:00,-1.60393,-1.60393
2018-10-05 09:15:00,0.98698,0.98698
2018-10-05 09:45:00,-2.99123,-2.99123
2018-10-05 10:15:00,0.52388,0.52388
2018-10-05 10:45:00,-0.72237,-0.72237
2018-10-05 11:15:00,1.51662,1.51662
2018-10-05 11:45:00,0.15712,0.15712
2018-10-05 12:15:00,0.48014,0.48014
2018-10-05 12:45:00,3.0813,3.0813
2018-10-05 13:15:00,-1.29071,-1.29071
2018-10-05 13:45:00,-0.28813,-0.28813
2018-10-05 14:15:00,-1.88035,-1.88035
2018-10-05 14:45:00,-3.29533,-3.29533
2018-10-05 15:15:00,1.39229,1.39229
2018-10-05 15:45:00,-3.05134,-3.05134
2018-10-05 16:15:00,-0.69615,-0.69615
2018-10-05 16:45:00,1.5874,1.5874
2018-10-05 17:15:00,-0.32992,-0.32992
2018-10-05 17:45:00,-1.98931,-1.98931
2018-10-05 18:15:00,-2.15817,-2.15817
2018-10-05 18:45:00,3.60988,3.60988
2018-10-05 19:15:00,0.78262,0.78262
2018-10-05 19:45:00,0.57041,0.57041
2018-10-05 20:15:00,0.36375,0.36375
2018-10-05 20:45:00,2.24142,2.24142
2018-10-05 21:15:00,1.37048,1.37048
2018-10-05 21:45:00,-0.89804,-0.89804
2018-10-05 22:15:00,-0.03517,-0.03517
2018-10-05 22:45:00,-0.06766,-0.06766
2018-10-05 23:15:00,1.36066,1.36066
2018-10-05 23:45:00,0.4243,0.4243
2018-10-06 00:15:00,-0.17747,-0.17747
2018-10-06 00:45:00,0.72662,0.72662
2018-10-06 01:15:00,0.39322,0.39322
2018-10-06 01:45:00,0.22441,0.22441
2018-10-06 02:15:00,0.14111,0.14111
2018-10-06 02:45:00,-1.00969,-1.00969
2018-10-06 03:15:00,-0.23975,-0.23975
2018-10-06 03:45:00,0.19415,0.19415
2018-10-06 04:15:00,0.42099,0.42099
2018-10-06 04:45:00,-0.4774,-0.4774
2018-10-06 05:15:00,-0.80378,-0.80378
2018-10-06 05:45:00,0.18823,0.18823
2018-10-06 06:15:00,0.66981,0.66981
