datetime,NEE,NEE_filled
2018-10-03 14:15:00,-3.45494,-3.45494
2018-10-03 14:45:00,-0.41603,-0.41603
2018-10-03 15:15:00,1.54907,1.54907
2018-10-03 15:45:00,-1.73279,-1.73279
2018-10-03 16:15:00,0.41875,0.41875
2018-10-03 16:45:00,-0.1147,-0.1147
2018-10-03 17:15:00,1.35486,1.35486
2018-10-03 17:45:00,0.25375,0.25375
2018-10-03 18:15:00,0.32839,0.32839
2018-10-03 18:45:00,0.01377,0.01377
2018-10-03 19:15:00,-0.31161,-0.31161
2018-10-03 19:45:00,0.15641,0.15641
2018-10-03 20:15:00,-0.49224,-0.49224
2018-10-03 20:45:00,-0.07561,-0.07561
2018-10-03 21:15:00,0.25216,0.25216
2018-10-03 21:45:00,-0.03364,-0.03364
2018-10-03 22:15:00,0.79675,0.79675
2018-10-03 22:45:00,-0.12598,-0.12598
2018-10-03 23:15:00,1.30418,1.30418
2018-10-03 23:45:00,-0.11886,-0.11886
2018-10-04 00:15:00,0.69994,0.69994
2018-10-04 00:45:00,-0.27149,-0.27149
2018-10-04 01:15:00,-0.10178,-0.10178
2018-10-04 01:45:00,1.00345,1.00345
2018-10-04 02:15:00,-0.36809,-0.36809
2018-10-04 02:45:00,-0.88961,-0.88961
2018-10-04 03:15:00,-2.28343,-2.28343
2018-10-04 03:45:00,-0.63224,-0.63224
2018-10-04 04:15:00,-2.00325,-2.00325
2018-10-04 04:45:00,0.04373,0.04373
2018-10-04 05:15:00,0.25199,0.25199
2018-10-04 05:45:00,0.55347,0.55347
2018-10-04 06:15:00,-0.87946,-0.87946
2018-10-04 06:45:00,0.31966,0.31966
2018-10-04 07:15:00,0.53424,0.53424
2018-10-04 07:45:00,-0.26212,-0.26212
2018-10-04 08:15:00,-0.74533,-0.74533
2018-10-04 08:45:00,-2.29409,-2.29409
2018-10-04 09:15:00,-1.24136,-1.24136
2018-10-04 09:45:00,-0.29681,-0.29681
2018-10-04 10:15:00,-4.61001,-4.61001
2018-10-04 10:45:00,0.73124,0.73124
2018-10-04 11:15:00,-0.20568,-0.20568
2018-10-04 11:45:00,2.02431,2.02431
2018-10-04 12:15:00,1.00607,1.00607
2018-10-04 12:45:00,-0.94765,-0.94765
2018-10-04 13:15:00,-1.07335,-1.07335
2018-10-04 13:45:00,-2.45645,-2.45645
2018-10-04 14:15:00,-0.66659,-0.66659
2018-10-04 14:45:00,1.35144,1.35144
2018-10-04 15:15:00,-0.87002,-0.87002
2018-10-04 15:45:00,-0.85652,-0.85652
2018-10-04 16:15:00,0.74203,0.74203
2018-10-04 16:45:00,-0.00574,-0.00574
2018-10-04 17:15:00,-0.32686,-0.32686
2018-10-04 17:45:00,-0.55565,-0.55565
2018-10-04 18:15:00,-2.16885,-2.16885
2018-10-04 18:45:00,0.46211,0.46211
2018-10-04 19:15:00,-2.00246,-2.00246
2018-10-04 19:45:00,1.28629,1.28629
2018-10-04 20:15:00,-0.72046,-0.72046
2018-10-04 20:45:00,-0.06377,-0.06377
2018-10-04 21:15:00,0.42191,0.42191
2018-10-04 21:45:00,-2.10379,-2.10379
2018-10-04 22:15:00,0.59669,0.59669
2018-10-04 22:45:00,0.91402,0.91402
2018-10-04 23:15:00,-0.84662,-0.84662
2018-10-04 23:45:00,0.6097,0.6097
2018-10-05 00:15:00,-0.02697,-0.02697
2018-10-05 00:45:00,-3.03895,-3.03895
2018-10-05 01:15:00,0.66537,0.66537
2018-10-05 01:45:00,-4.20792,-4.20792
2018-10-05 02:15:00,0.49992,0.49992
2018-10-05 02:45:00,-0.12952,-0.12952
2018-10-05 03:15:00,-0.33895,-0.33895
2018-10-05 03:45:00,-0.20722,-0.20722
2018-10-05 04:15:00,0.27493,0.27493
2018-10-05 04:45:00,0.02947,0.02947
2018-10-05 05:15:00,0.0117,0.0117
2018-10-05 05:45:00,-0.36452,-0.36452
2018-10-05 06:15:00,0.99854,0.99854
2018-10-05 06:45:00,-0.00675,-0.00675
2018-10-05 07:15:00,-0.26418,-0.26418
2018-10-05 07:45:00,0.48458,0.48458
2018-10-05 08:15:00,-2.48615,-2.48615
2018-10-05 08:45:00,-0.28254,-0.28254
2018-10-05 09:15:00,-0.11002,-0.11002
2018-10-05 09:45:00,-2.89619,-2.89619
2018-10-05 10:15:00,-0.95494,-0.95494
2018-10-05 10:45:00,3.24879,3.24879
2018-10-05 11:15:00,-2.34151,-2.34151
2018-10-05 11:45:00,-0.4437,-0.4437
2018-10-05 12:15:00,-0.74767,-0.74767
2018-10-05 12:45:00,-0.57217,-0.57217
2018-10-05 13:15:00,-1.0516,-1.0516
2018-10-05 13:45:00,-2.75046,-2.75046
2018-10-05 14:15:00,0.56316,0.56316
2018-10-05 14:45:00,-0.05551,-0.05551
2018-10-05 15:15:00,1.11885,1.11885
2018-10-05 15:45:00,-0.11801,-0.11801
2018-10-05 16:15:00,-0.62029,-0.62029
2018-10-05 16:45:00,-3.29641,-3.29641
2018-10-05 17:15:00,-0.03249,-0.03249
2018-10-05 17:45:00,-1.86377,-1.86377
2018-10-05 18:15:00,0.33308,0.33308
2018-10-05 18:45:00,-0.86794,-0.86794
2018-10-05 19:15:00,0.42389,0.42389
2018-10-05 19:45:00,-0.20024,-0.20024
2018-10-05 20:15:00,-0.59151,-0.59151
2018-10-05 20:45:00,1.6233,1.6233
2018-10-05 21:15:00,-0.39278,-0.39278
2018-10-05 21:45:00,-0.49641,-0.49641
2018-10-05 22:15:00,-0.797,-0.797
2018-10-05 22:45:00,0.0876,0.0876
2018-10-05 23:15:00,0.27072,0.27072
2018-10-05 23:45:00,0.42613,0.42613
2018-10-06 00:15:00,-0.21485,-0.21485
2018-10-06 00:45:00,-1.92897,-1.92897
2018-10-06 01:15:00,0.37581,0.37581
2018-10-06 01:45:00,,-0.0575259249999999
2018-10-06 02:15:00,0.29444,0.29444
2018-10-06 02:45:00,-0.06594,-0.06594
2018-10-06 03:15:00,1.59416,1.59416
2018-10-06 03:45:00,0.04794,0.04794
2018-10-06 04:15:00,0.09231,0.09231
2018-10-06 04:45:00,-0.37762,-0.37762
2018-10-06 05:15:00,0.0012,0.0012
2018-10-06 05:45:00,-0.24606,-0.24606
2018-10-06 06:15:00,-0.96612,-0.96612
2018-10-06 06:45:00,-0.5966,-0.5966
2018-10-06 07:15:00,0.48814,0.48814
2018-10-06 07:45:00,0.96141,0.96141
2018-10-06 08:15:00,0.66872,0.66872
2018-10-06 08:45:00,0.33736,0.33736
2018-10-06 09:15:00,3.96666,3.96666
2018-10-06 09:45:00,0.94756,0.94756
2018-10-06 10:15:00,-0.81285,-0.81285
2018-10-06 10:45:00,-1.71278,-1.71278
2018-10-06 11:15:00,2.12768,2.12768
2018-10-06 11:45:00,2.7654,2.7654
2018-10-06 12:15:00,1.06049,1.06049
2018-10-06 12:45:00,-5.84654,-5.84654
2018-10-06 13:15:00,-0.52709,-0.52709
2018-10-06 13:45:00,-1.46764,-1.46764
2018-10-06 14:15:00,0.42126,0.42126
2018-10-06 14:45:00,1.39682,1.39682
2018-10-06 15:15:00,0.03788,0.03788
2018-10-06 15:45:00,-0.29987,-0.29987
2018-10-06 16:15:00,-1.98278,-1.98278
2018-10-06 16:45:00,1.93408,1.93408
2018-10-06 17:15:00,-1.47148,-1.47148
2018-10-06 17:45:00,1.62471,1.62471
2018-10-06 18:15:00,-2.19047,-2.19047
2018-10-06 18:45:00,-1.68807,-1.68807
2018-10-06 19:15:00,0.95357,0.95357
2018-10-06 19:45:00,-0.04211,-0.04211
2018-10-06 20:15:00,5.56307,5.56307
2018-10-06 20:45:00,-0.47339,-0.47339
2018-10-06 21:15:00,0.21877,0.21877
2018-10-06 21:45:00,-1.19006,-1.19006
2018-10-06 22:15:00,-0.13211,-0.13211
2018-10-06 22:45:00,1.40174,1.40174
2018-10-06 23:15:00,-1.05183,-1.05183
2018-10-06 23:45:00,-1.09463,-1.09463
