datetime,NEE,NEE_filled
2018-10-03 14:15:00,0.11627,0.11627
2018-10-03 14:45:00,0.92728,0.92728
2018-10-03 15:15:00,-1.03892,-1.03892
2018-10-03 15:45:00,0.70577,0.70577
2018-10-03 16:15:00,1.04883,1.04883
2018-10-03 16:45:00,1.24086,1.24086
2018-10-03 17:15:00,0.39381,0.39381
2018-10-03 17:45:00,-0.48273,-0.48273
2018-10-03 18:15:00,1.1411,1.1411
2018-10-03 18:45:00,0.80834,0.80834
2018-10-03 19:15:00,-0.40606,-0.40606
2018-10-03 19:45:00,0.33037,0.33037
2018-10-03 20:15:00,-0.3859,-0.3859
2018-10-03 20:45:00,-0.03759,-0.03759
2018-10-03 21:15:00,-1.04563,-1.04563
2018-10-03 21:45:00,-0.33562,-0.33562
2018-10-03 22:15:00,-1.72031,-1.72031
2018-10-03 22:45:00,-1.00904,-1.00904
2018-10-03 23:15:00,-0.89937,-0.89937
2018-10-03 23:45:00,0.32302,0.32302
2018-10-04 00:15:00,0.04056,0.04056
2018-10-04 00:45:00,1.12944,1.12944
2018-10-04 01:15:00,-0.16298,-0.16298
2018-10-04 01:45:00,0.85327,0.85327
2018-10-04 02:15:00,0.40221,0.40221
2018-10-04 02:45:00,0.7192,0.7192
2018-10-04 03:15:00,-0.87113,-0.87113
2018-10-04 03:45:00,0.87818,0.87818
2018-10-04 04:15:00,-0.17681,-0.17681
2018-10-04 04:45:00,-1.19704,-1.19704
2018-10-04 05:15:00,-0.84503,-0.84503
2018-10-04 05:45:00,-0.07813,-0.07813
2018-10-04 06:15:00,0.06659,0.06659
2018-10-04 06:45:00,0.68117,0.68117
2018-10-04 07:15:00,2.63072,2.63072
2018-10-04 07:45:00,-0.62508,-0.62508
2018-10-04 08:15:00,1.49015,1.49015
2018-10-04 08:45:00,-0.11079,-0.11079
2018-10-04 09:15:00,0.19218,0.19218
2018-10-04 09:45:00,0.38072,0.38072
2018-10-04 10:15:00,2.05805,2.05805
2018-10-04 10:45:00,-1.12013,-1.12013
2018-10-04 11:15:00,1.55927,1.55927
2018-10-04 11:45:00,-0.7714,-0.7714
2018-10-04 12:15:00,-1.44783,-1.44783
2018-10-04 12:45:00,-0.76879,-0.76879
2018-10-04 13:15:00,-1.59587,-1.59587
2018-10-04 13:45:00,1.73751,1.73751
2018-10-04 14:15:00,-1.09462,-1.09462
2018-10-04 14:45:00,2.76916,2.76916
2018-10-04 15:15:00,-0.87729,-0.87729
2018-10-04 15:45:00,0.16205,0.16205
2018-10-04 16:15:00,-0.77816,-0.77816
2018-10-04 16:45:00,-1.78138,-1.78138
2018-10-04 17:15:00,2.00219,2.00219
2018-10-04 17:45:00,-0.69848,-0.69848
2018-10-04 18:15:00,-0.36222,-0.36222
2018-10-04 18:45:00,0.01956,0.01956
2018-10-04 19:15:00,0.80043,0.80043
2018-10-04 19:45:00,2.51487,2.51487
2018-10-04 20:15:00,-1.06283,-1.06283
2018-10-04 20:45:00,0.31484,0.31484
2018-10-04 21:15:00,1.09197,1.09197
2018-10-04 21:45:00,0.261,0.261
2018-10-04 22:15:00,-0.36805,-0.36805
