datetime,H,H_filled
2018-10-03 14:15:00,225.404,225.404
2018-10-03 14:45:00,149.523,149.523
2018-10-03 15:15:00,99.5173,99.5173
2018-10-03 15:45:00,83.9604,83.9604
2018-10-03 16:15:00,119.441,119.441
2018-10-03 16:45:00,107.34,107.34
2018-10-03 17:15:00,83.7484,83.7484
2018-10-03 17:45:00,12.3358,12.3358
2018-10-03 18:15:00,-14.695,-14.695
2018-10-03 18:45:00,-22.6363,-22.6363
2018-10-03 19:15:00,-19.8996,-19.8996
2018-10-03 19:45:00,-20.0663,-20.0663
2018-10-03 20:15:00,-25.2433,-25.2433
2018-10-03 20:45:00,-40.2202,-40.2202
2018-10-03 21:15:00,-36.9534,-36.9534
2018-10-03 21:45:00,-46.0239,-46.0239
2018-10-03 22:15:00,-44.5017,-44.5017
2018-10-03 22:45:00,-21.5984,-21.5984
2018-10-03 23:15:00,-29.019,-29.019
2018-10-03 23:45:00,-5.61938,-5.61938
2018-10-04 00:15:00,-32.792,-32.792
2018-10-04 00:45:00,-12.752,-12.752
2018-10-04 01:15:00,-9.30601,-9.30601
2018-10-04 01:45:00,-0.75722,-0.75722
2018-10-04 02:15:00,-2.30417,-2.30417
2018-10-04 02:45:00,-6.74289,-6.74289
2018-10-04 03:15:00,-0.72022,-0.72022
2018-10-04 03:45:00,,-8.006309175
2018-10-04 04:15:00,-6.91959,-6.91959
2018-10-04 04:45:00,-6.29959,-6.29959
2018-10-04 05:15:00,-16.7957,-16.7957
2018-10-04 05:45:00,-15.2115,-15.2115
2018-10-04 06:15:00,-26.1627,-26.1627
2018-10-04 06:45:00,-24.39,-24.39
2018-10-04 07:15:00,-36.866,-36.866
2018-10-04 07:45:00,3.06211,3.06211
2018-10-04 08:15:00,14.7964,14.7964
2018-10-04 08:45:00,47.8935,47.8935
2018-10-04 09:15:00,70.4302,70.4302
2018-10-04 09:45:00,133.544,133.544
2018-10-04 10:15:00,149.66,149.66
2018-10-04 10:45:00,174.107,174.107
2018-10-04 11:15:00,192.029,192.029
2018-10-04 11:45:00,226.564,226.564
2018-10-04 12:15:00,228.706,228.706
2018-10-04 12:45:00,,262.0346517499999
2018-10-04 13:15:00,274.117,274.117
2018-10-04 13:45:00,271.408,271.408
2018-10-04 14:15:00,257.826,257.826
2018-10-04 14:45:00,285.934,285.934
2018-10-04 15:15:00,137.192,137.192
2018-10-04 15:45:00,172.157,172.157
2018-10-04 16:15:00,170.896,170.896
2018-10-04 16:45:00,141.863,141.863
2018-10-04 17:15:00,36.3697,36.3697
2018-10-04 17:45:00,32.3327,32.3327
2018-10-04 18:15:00,3.18577,3.18577
2018-10-04 18:45:00,-20.6094,-20.6094
2018-10-04 19:15:00,-30.3516,-30.3516
2018-10-04 19:45:00,-35.9595,-35.9595
2018-10-04 20:15:00,-51.9691,-51.9691
2018-10-04 20:45:00,-53.1562,-53.1562
2018-10-04 21:15:00,-56.3145,-56.3145
2018-10-04 21:45:00,-50.8346,-50.8346
2018-10-04 22:15:00,-34.8474,-34.8474
2018-10-04 22:45:00,-27.4292,-27.4292
2018-10-04 23:15:00,-14.3159,-14.3159
2018-10-04 23:45:00,-29.4307,-29.4307
2018-10-05 00:15:00,-22.0565,-22.0565
2018-10-05 00:45:00,-22.8545,-22.8545
2018-10-05 01:15:00,,-12.4108552
2018-10-05 01:45:00,-2.58285,-2.58285
2018-10-05 02:15:00,8.00462,8.00462
2018-10-05 02:45:00,5.97835,5.97835
2018-10-05 03:15:00,-15.6374,-15.6374
2018-10-05 03:45:00,-20.5615,-20.5615
2018-10-05 04:15:00,-9.67182,-9.67182
2018-10-05 04:45:00,-5.17921,-5.17921
2018-10-05 05:15:00,-0.26754,-0.26754
2018-10-05 05:45:00,0.30704,0.30704
2018-10-05 06:15:00,-3.13043,-3.13043
2018-10-05 06:45:00,0.28985,0.28985
2018-10-05 07:15:00,-6.36155,-6.36155
2018-10-05 07:45:00,-2.57274,-2.57274
2018-10-05 08:15:00,4.16989,4.16989
2018-10-05 08:45:00,47.0623,47.0623
2018-10-05 09:15:00,73.3804,73.3804
2018-10-05 09:45:00,108.139,108.139
2018-10-05 10:15:00,132.977,132.977
2018-10-05 10:45:00,189.967,189.967
2018-10-05 11:15:00,202.466,202.466
2018-10-05 11:45:00,273.579,273.579
2018-10-05 12:15:00,234.138,234.138
2018-10-05 12:45:00,200.079,200.079
2018-10-05 13:15:00,252.814,252.814
2018-10-05 13:45:00,249.992,249.992
2018-10-05 14:15:00,233.403,233.403
2018-10-05 14:45:00,227.69,227.69
2018-10-05 15:15:00,229.862,229.862
2018-10-05 15:45:00,229.602,229.602
2018-10-05 16:15:00,151.963,151.963
2018-10-05 16:45:00,136.245,136.245
2018-10-05 17:15:00,86.7164,86.7164
